n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,capex_usd,annual_kwh,annual_rev,annual_om,annual_ncf,npv_usd,irr_mean,payback_mean,lcoe_mean,per_connection,tech_mix_str
3,Buru,Air Buaya,1,0.7969,micro_hydro,1,2,retrofit,0.167,5279,1331,351.4,351.3,1315919,2737113,2026516,blended_finance,4499070,2831841,527486,89982,437504,-38934,0.0737,11.0,0.1878,3380,micro_hydro:3
1,Buru,Batabual,2,1.0,solar_biomass_hybrid,0,1,retrofit,0.273,2241,564,148.9,148.9,443945,807981,625963,public_good,690221,1200015,223526,17256,206271,1412604,0.2972,4.0,0.0708,1223,solar_biomass_hybrid:1
9,Buru,Fena Leisela,3,0.8405,micro_hydro,1,8,retrofit,0.182,6128,1764,465.7,465.6,1636365,3387539,2511953,blended_finance,5479074,3753008,699072,110063,589010,525564,0.1079,9.6,0.1674,3106,micro_hydro:8; solar_biomass_hybrid:1
1,Buru,Teluk Kaiely,4,1.0,solar_biomass_hybrid,0,1,retrofit,0.318,1168,320,84.5,84.5,218284,397276,307780,public_good,339304,680841,126820,8483,118337,867085,0.3479,3.0,0.0613,1060,solar_biomass_hybrid:1
7,Buru,Waplau,5,0.7629,solar_biomass_hybrid,0,7,retrofit,0.266,8590,2340,617.8,617.8,1627956,2955425,2291690,blended_finance,2682808,4978652,927372,66215,861157,6096250,0.3138,3.7,0.0688,1146,solar_biomass_hybrid:6; solar_battery:1
1,Buru Selatan,Ambalau,6,1.0,solar_biomass_hybrid,0,1,retrofit,0.455,1359,353,93.2,93.2,255684,465346,360515,public_good,397501,751037,139895,9938,129958,927352,0.3258,4.0,0.0651,1126,solar_biomass_hybrid:1
10,Buru Selatan,Fena Fafan,7,0.9057,micro_hydro,0,10,retrofit,0.223,5045,1116,294.6,294.7,994831,2069250,1532040,blended_finance,3399590,2374401,442278,67992,374286,416074,0.0906,9.6,0.1692,3046,micro_hydro:10
2,Buru Selatan,Kepala Madan,8,0.7252,solar_battery,0,2,retrofit,0.432,3985,1015,268.0,267.9,533278,924348,728814,public_good,1771604,2159543,402257,38975,363282,1931869,0.2001,5.0,0.0983,1745,solar_battery:2
5,Buru Selatan,Kepala Madan,9,0.8409,solar_biomass_hybrid,1,4,retrofit,0.182,4685,1110,293.0,293.1,843988,1536059,1190024,blended_finance,1311951,2361588,439891,32798,407094,2838155,0.3156,4.0,0.0672,1181,solar_biomass_hybrid:5
8,Buru Selatan,Kepala Madan,10,0.8333,micro_hydro,2,6,retrofit,0.187,6469,1592,420.3,420.2,1495970,3111615,2303792,blended_finance,5114477,3387202,630932,102290,528643,274768,0.0819,10.1,0.1786,3212,micro_hydro:8
10,Buru Selatan,Leksula,11,0.8152,micro_hydro,1,9,retrofit,0.2,7803,1836,484.7,484.8,1686690,3486805,2586748,blended_finance,5757942,3906375,727638,115572,612067,481769,0.0918,9.8,0.1715,3136,micro_hydro:9; solar_battery:1
2,Buru Selatan,Leksula,12,0.8713,solar_biomass_hybrid,0,2,retrofit,0.432,2152,555,146.5,146.5,420887,766014,593451,public_good,654476,1180834,219953,16362,203592,1421036,0.3105,4.0,0.068,1179,solar_biomass_hybrid:2
5,Buru Selatan,Leksula,13,0.7627,solar_biomass_hybrid,0,5,retrofit,0.264,2359,572,151.0,151.0,386573,700993,543783,blended_finance,653417,1217020,226694,16040,210653,1494086,0.3117,4.0,0.0694,1142,solar_biomass_hybrid:4; solar_battery:1
1,Buru Selatan,Leksula,14,1.0,micro_hydro,0,1,retrofit,0.5,3785,1005,265.3,265.3,903231,1878720,1390976,public_good,3087596,2138267,398294,61752,336542,343279,0.0893,10.0,0.1705,3072,micro_hydro:1
